rowid,_dyn_#scan,_dyn_#precmz,_dyn_#ms1scan,_dyn_#rt,_dyn_#charge,_dyn_#i,_dyn_#i_norm,_dyn_#mslevel,_dyn_#i_norm_ms1,_dyn_#query_index,_dyn_#filename,_dyn_#original_path,_dyn_#new_scan,_dyn_#new_filename,id
194,39498,282.2065,0,6.092916667,1,28450000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,194,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,82
295,70253,300.2162,0,10.83041667,1,28130000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,295,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,83
185,39324,342.2275,0,5.41115,1,27355000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,185,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,84
70,19950,248.1477,0,2.967483333,1,27212000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,70,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,85
35,10252,338.2686,0,7.115266667,1,27046000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,35,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,86
94,23846,260.1488,0,3.530716667,1,26323000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,94,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,87
314,79676,326.2319,0,10.8253,1,26202000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,314,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,88
234,44707,204.1216,0,2.597883333,1,26061000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,234,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,89
140,34819,270.1693,0,11.14793333,1,25599000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,140,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,90
22,9550,312.2533,0,6.843433333,1,25544000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,22,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,91
169,36396,300.2162,0,11.00986667,1,25508000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,169,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,92
24,9582,431.2755,0,5.826816667,1,25050000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,24,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,93
301,73038,396.2043,0,6.912016667,1,24568000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,301,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,94
172,37522,332.2433,0,5.296333333,1,24369000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,172,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,95
26,9672,394.191,0,6.4646,1,24282000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,26,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,96
132,33337,242.1752,0,4.55785,1,24220000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,132,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,97
39,10579,372.2745,0,5.741916667,1,23749000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,39,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,98
334,105437,372.2746,0,5.742583333,1,23749000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,334,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,99
145,34950,288.1804,0,4.38425,1,23584000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,145,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,100
156,35322,316.212,0,5.1978,1,23322000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,156,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,101
225,43424,386.2902,0,6.3071,1,21929000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,225,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,102
151,35091,354.2636,0,7.0344,1,21006000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,151,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,103
222,43129,326.2326,0,5.269483333,1,20631000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,222,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,104
55,14355,242.1387,0,3.537516667,1,20205000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,55,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,105
281,63833,242.1389,0,4.715083333,1,19960000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,281,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,106
322,84446,242.1387,0,4.52995,1,19960000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,322,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,107
90,22479,228.1589,0,10.91825,1,19447000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,90,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,108
57,14417,258.1704,0,4.179733333,1,19333000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,57,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,109
265,59962,321.1654,0,2.727666667,1,19178000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,265,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,110
17,8105,358.2587,0,6.264116667,1,18114000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,17,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,111
