,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354
0,MO enrichment,Ga0066437_10005613,p024,14,3oxoC8 3.996266667,2929910500,1,3oxoC6 2.804883333,349015200,0.119121454,C8 4.736166667,106671016,0.036407602,3oxoC10 4.941783333,68818470,0.02348825,slower 3oxoC8 4.52995,19689400,0.006720137,3oxoC14 6.432083333,13136130,0.004483458,C6 3.618966667,12170072,0.004153735,3oxoC12 5.705166667,8990172,0.003068412,3OHC8 3.781116667,7772205,0.002652711,slower 3oxoC8 4.715083333,7505655.5,0.002561735,slower 3OHC10 4.851,3559340.8,0.001214829,3oxoC16 7.0344,2249047,0.000767616,slower 3oxoC16 7.1777,2249047,0.000767616,3OHC16 2 double 6.654166667,1612106.1,0.000550224,C11H19NO4 3.385083333,1586562,0.000541505,C13H23NO4 4.179733333,1396828.8,0.000476748,3OHC14 2 double 6.05145,1353816.6,0.000462068,slower 3oxoC8 5.332366667,1292808.1,0.000441245,3OHC10 4.70495,796664,0.000271907,C16 7.520133333,757596.3,0.000258573,3OHC10 2 double 5.1201,541295.06,0.000184748,C16 double 7.115266667,461607.12,0.00015755,3OHC12 2 double 5.44925,366389.9,0.000125052,potential 3oxoC10 isomer 4.749816667,285193.88,9.73E-05,slower 3oxoC10 5.509183333,282740.56,9.65E-05,C17H29NO4 5.918766667,222599.6,7.60E-05,slower 3oxoC14 6.7396,212113.45,7.24E-05,C18 double 7.63625,199597.73,6.81E-05,potential 3oxoC18 isomer 7.015066667,187281.17,6.39E-05,C14 double 6.51845,128264.22,4.38E-05,potential 3oxoC16 isomer 6.43225,80099.73,2.73E-05,potential 3oxoC14 isomer 6.308883333,80066.21,2.73E-05,fasterC12 5.7807,0,0,fasterC12 5.479633333,0,0,fasterC10 4.992883333,0,0,C4 2.30635,0,0,fasterC10 4.78765,0,0,C8 double 4.271,0,0,faster3OHC14 5.5523,0,0,fasterC8 4.064466667,0,0,faster3OHC12 1.351033333,0,0,faster3OHC10 4.28275,0,0,C8 double 3.796216667,0,0,faster3OHC10 4.070566667,0,0,faster3OHC12 4.93175,0,0,potential 3oxoC8 isomer 3.537516667,0,0,potential 3oxoC10 isomer 4.389916667,0,0,slower 3OHC8 4.50435,0,0,slower C6 3.951333333,0,0,slower C4 2.736683333,0,0,slower C4 2.420766667,0,0,slower C10 6.372483333,0,0,slower 3oxoC6 3.463633333,0,0,slower 3oxoC12 6.21895,0,0,slower 3oxoC10 5.958416667,0,0,slower 3OHC8 5.0325,0,0,slower 3OHC8 4.00185,0,0,potential 3oxoC12 isomer 4.7432,0,0,slower 3OHC4 2.07355,0,0,slower 3OHC18 7.573066667,0,0,slower 3OHC10 5.474233333,0,0,C21H37NO3 7.312566667,0,0,potential 3oxoC6 isomer 2.5269,0,0,potential 3oxoC14 isomer 5.8017,0,0,potential 3oxoC14 isomer 5.269483333,0,0,potential 3oxoC12 isomer 5.243266667,0,0,C24H43NO3 8.07615,0,0,C17H31NO3 6.506916667,0,0,C19H35NO4 6.49065,0,0,C13H19NO4 5.2806,0,0,C12 double 6.092916667,0,0,C12 double 5.876166667,0,0,C12 double 5.47195,0,0,C12 6.181016667,0,0,C12 2 double 5.240533333,0,0,C11H15NO3 6.026666667,0,0,C10 double 5.280083333,0,0,C10 double 4.9337,0,0,C10 double 4.683766667,0,0,C10 5.506716667,0,0,3OHC6 2.681866667,0,0,3OHC6 2 double 4.222616667,0,0,3OHC4 0.89745,0,0,3OHC18 2 double 7.340183333,0,0,3OHC16 6.735666667,0,0,3OHC16 2 double 5.916766667,0,0,3OHC14 6.13105,0,0,3OHC14 2 double 6.7006,0,0,3OHC12 5.475066667,0,0,3OHC12 2 double 6.352816667,0,0,3OHC12 2 double 4.620683333,0,0,C12 double 6.612716667,0,0,C13H19NO4 6.44835,0,0,C19H35NO4 6.045783333,0,0,C13H23NO3 4.55785,0,0,C19H35NO3 7.2361,0,0,C19H33NO4 6.718533333,0,0,C19H33NO3 6.821816667,0,0,C18 7.851083333,0,0,C18 2 double 7.051833333,0,0,C18 2 double 6.2881,0,0,C16 double 6.856583333,0,0,C16 2 double 6.5079,0,0,C15H27NO4 5.114583333,0,0,C15H27NO4 5.006033333,0,0,C15H27NO3 5.825383333,0,0,C15H25NO4 7.652383333,0,0,C15H25NO4 6.41895,0,0,C15H25NO4 5.302416667,0,0,C15H25NO3 5.056283333,0,0,C15H23NO4 7.135883333,0,0,C14 double 6.18825,0,0,C14 6.843433333,0,0,C14 2 double 5.845516667,0,0,C14 2 double 5.321966667,0,0,C13H23NO3 5.05995,0,0,slower C8 5.808716667,0,0
1,Methylobacter tundripaludum 21/22,T451DRAFT_0797,p010,17,3OHC10 4.70495,522718240,1,3OHC12 5.475066667,253807250,0.485552695,slower 3OHC10 4.851,247692370,0.473854461,3OHC14 6.13105,56417456,0.107930911,3OHC8 3.781116667,22520420,0.043083287,potential 3oxoC14 isomer 5.8017,2770252,0.005299704,potential 3oxoC12 isomer 5.243266667,1930761.2,0.003693694,C11H19NO4 3.385083333,1594906.9,0.003051179,potential 3oxoC16 isomer 6.43225,1184605.6,0.002266241,potential 3oxoC18 isomer 7.015066667,670700.25,0.001283101,slower 3OHC10 5.474233333,416821.84,0.000797412,3oxoC10 4.941783333,360069.75,0.000688841,potential 3oxoC10 isomer 4.749816667,300797.34,0.000575448,C16 7.520133333,183712.92,0.000351457,C17H29NO4 5.918766667,162883.34,0.000311608,slower 3oxoC14 6.7396,148259.12,0.000283631,slower 3oxoC16 7.1777,99621.484,0.000190584,C18 double 7.63625,93188.484,0.000178277,faster3OHC14 5.5523,0,0,fasterC10 4.78765,0,0,fasterC10 4.992883333,0,0,faster3OHC12 4.93175,0,0,faster3OHC12 1.351033333,0,0,C8 4.736166667,0,0,faster3OHC10 4.28275,0,0,faster3OHC10 4.070566667,0,0,C8 double 4.271,0,0,C8 double 3.796216667,0,0,fasterC12 5.7807,0,0,C6 3.618966667,0,0,C4 2.30635,0,0,C24H43NO3 8.07615,0,0,C21H37NO3 7.312566667,0,0,C19H35NO4 6.49065,0,0,C19H35NO4 6.045783333,0,0,C19H35NO3 7.2361,0,0,C19H33NO4 6.718533333,0,0,fasterC12 5.479633333,0,0,3OHC10 2 double 5.1201,0,0,fasterC8 4.064466667,0,0,potential 3oxoC10 isomer 4.389916667,0,0,slower C6 3.951333333,0,0,slower C4 2.736683333,0,0,slower C4 2.420766667,0,0,slower C10 6.372483333,0,0,slower 3oxoC8 5.332366667,0,0,slower 3oxoC8 4.715083333,0,0,slower 3oxoC8 4.52995,0,0,slower 3oxoC6 3.463633333,0,0,slower 3oxoC12 6.21895,0,0,slower 3oxoC10 5.958416667,0,0,slower 3oxoC10 5.509183333,0,0,slower 3OHC8 5.0325,0,0,slower 3OHC8 4.50435,0,0,slower 3OHC8 4.00185,0,0,slower 3OHC4 2.07355,0,0,slower 3OHC18 7.573066667,0,0,potential 3oxoC8 isomer 3.537516667,0,0,potential 3oxoC6 isomer 2.5269,0,0,C19H33NO3 6.821816667,0,0,potential 3oxoC14 isomer 5.269483333,0,0,potential 3oxoC12 isomer 4.7432,0,0,potential 3oxoC14 isomer 6.308883333,0,0,C17H31NO3 6.506916667,0,0,C18 7.851083333,0,0,C12 double 5.47195,0,0,C12 2 double 5.240533333,0,0,C11H15NO3 6.026666667,0,0,C10 double 5.280083333,0,0,C10 double 4.9337,0,0,C10 double 4.683766667,0,0,C10 5.506716667,0,0,3oxoC8 3.996266667,0,0,3oxoC6 2.804883333,0,0,3oxoC16 7.0344,0,0,3oxoC14 6.432083333,0,0,3oxoC12 5.705166667,0,0,3OHC6 2.681866667,0,0,3OHC6 2 double 4.222616667,0,0,3OHC4 0.89745,0,0,3OHC18 2 double 7.340183333,0,0,3OHC16 6.735666667,0,0,3OHC16 2 double 6.654166667,0,0,3OHC16 2 double 5.916766667,0,0,3OHC14 2 double 6.7006,0,0,3OHC14 2 double 6.05145,0,0,3OHC12 2 double 6.352816667,0,0,3OHC12 2 double 5.44925,0,0,3OHC12 2 double 4.620683333,0,0,C12 6.181016667,0,0,C12 double 5.876166667,0,0,C18 2 double 7.051833333,0,0,C12 double 6.092916667,0,0,C18 2 double 6.2881,0,0,C16 double 7.115266667,0,0,C16 double 6.856583333,0,0,C16 2 double 6.5079,0,0,C15H27NO4 5.114583333,0,0,C15H27NO4 5.006033333,0,0,C15H27NO3 5.825383333,0,0,C15H25NO4 7.652383333,0,0,C15H25NO4 6.41895,0,0,C15H25NO4 5.302416667,0,0,C15H25NO3 5.056283333,0,0,C15H23NO4 7.135883333,0,0,C14 double 6.51845,0,0,C14 double 6.18825,0,0,C14 6.843433333,0,0,C14 2 double 5.845516667,0,0,C14 2 double 5.321966667,0,0,C13H23NO4 4.179733333,0,0,C13H23NO3 5.05995,0,0,C13H23NO3 4.55785,0,0,C13H19NO4 6.44835,0,0,C13H19NO4 5.2806,0,0,C12 double 6.612716667,0,0,slower C8 5.808716667,0,0
2,Acidovorax sp. 93,Ga0213538_1727,p004,20,3OHC10 4.70495,2518953700,1,slower 3OHC10 4.851,1660480800,0.659194649,3OHC12 5.475066667,760603900,0.301952315,3OHC14 6.13105,307999300,0.122272712,3OHC8 3.781116667,61413444,0.024380537,potential 3oxoC14 isomer 5.8017,12218747,0.004850723,potential 3oxoC12 isomer 5.243266667,9607207,0.003813967,C10 5.506716667,9224180,0.003661909,potential 3oxoC16 isomer 6.43225,9185745,0.003646651,3oxoC10 4.941783333,4562937,0.001811441,potential 3oxoC18 isomer 7.015066667,4472867.5,0.001775685,C15H27NO4 5.114583333,4184788.5,0.00166132,C16 7.520133333,2676428.8,0.001062516,slower 3OHC10 5.474233333,2402460,0.000953753,slower 3OHC8 4.00185,1204835.5,0.000478308,C11H19NO4 3.385083333,927508.2,0.000368212,3oxoC12 5.705166667,711735.1,0.000282552,C17H29NO4 5.918766667,699729.56,0.000277786,C13H23NO4 4.179733333,615688.9,0.000244422,C19H35NO4 6.49065,589062.6,0.000233852,C12 double 5.876166667,503951.97,0.000200064,potential 3oxoC10 isomer 4.749816667,421914.8,0.000167496,C12 double 6.092916667,416754.1,0.000165447,3oxoC14 6.432083333,331585.28,0.000131636,C18 double 7.63625,256446.6,0.000101807,C16 double 7.115266667,255495.95,0.000101429,C18 2 double 7.051833333,203692.73,8.09E-05,C19H35NO3 7.2361,163974.25,6.51E-05,C14 double 6.51845,149883.89,5.95E-05,slower 3oxoC10 5.509183333,122637.44,4.87E-05,fasterC12 5.7807,0,0,fasterC12 5.479633333,0,0,C6 3.618966667,0,0,fasterC10 4.992883333,0,0,faster3OHC10 4.070566667,0,0,fasterC10 4.78765,0,0,faster3OHC14 5.5523,0,0,faster3OHC12 4.93175,0,0,C8 4.736166667,0,0,C8 double 3.796216667,0,0,faster3OHC12 1.351033333,0,0,faster3OHC10 4.28275,0,0,C8 double 4.271,0,0,fasterC8 4.064466667,0,0,3OHC10 2 double 5.1201,0,0,potential 3oxoC10 isomer 4.389916667,0,0,potential 3oxoC12 isomer 4.7432,0,0,slower C6 3.951333333,0,0,slower C4 2.736683333,0,0,slower C4 2.420766667,0,0,slower C10 6.372483333,0,0,slower 3oxoC8 5.332366667,0,0,slower 3oxoC8 4.715083333,0,0,slower 3oxoC8 4.52995,0,0,slower 3oxoC6 3.463633333,0,0,slower 3oxoC16 7.1777,0,0,slower 3oxoC14 6.7396,0,0,slower 3oxoC12 6.21895,0,0,slower 3oxoC10 5.958416667,0,0,slower 3OHC8 5.0325,0,0,slower 3OHC8 4.50435,0,0,slower 3OHC4 2.07355,0,0,slower 3OHC18 7.573066667,0,0,potential 3oxoC8 isomer 3.537516667,0,0,potential 3oxoC6 isomer 2.5269,0,0,C24H43NO3 8.07615,0,0,potential 3oxoC14 isomer 6.308883333,0,0,potential 3oxoC14 isomer 5.269483333,0,0,C4 2.30635,0,0,C17H31NO3 6.506916667,0,0,C21H37NO3 7.312566667,0,0,3OHC6 2 double 4.222616667,0,0,C12 2 double 5.240533333,0,0,C11H15NO3 6.026666667,0,0,C10 double 5.280083333,0,0,C10 double 4.9337,0,0,C10 double 4.683766667,0,0,3oxoC8 3.996266667,0,0,3oxoC6 2.804883333,0,0,3oxoC16 7.0344,0,0,3OHC6 2.681866667,0,0,3OHC4 0.89745,0,0,C12 double 5.47195,0,0,3OHC18 2 double 7.340183333,0,0,3OHC16 6.735666667,0,0,3OHC16 2 double 6.654166667,0,0,3OHC16 2 double 5.916766667,0,0,3OHC14 2 double 6.7006,0,0,3OHC14 2 double 6.05145,0,0,3OHC12 2 double 6.352816667,0,0,3OHC12 2 double 5.44925,0,0,3OHC12 2 double 4.620683333,0,0,C12 6.181016667,0,0,C12 double 6.612716667,0,0,C19H35NO4 6.045783333,0,0,C15H25NO4 6.41895,0,0,C19H33NO4 6.718533333,0,0,C19H33NO3 6.821816667,0,0,C18 7.851083333,0,0,C18 2 double 6.2881,0,0,C16 double 6.856583333,0,0,C16 2 double 6.5079,0,0,C15H27NO4 5.006033333,0,0,C15H27NO3 5.825383333,0,0,C15H25NO4 7.652383333,0,0,C15H25NO4 5.302416667,0,0,C13H19NO4 5.2806,0,0,C15H25NO3 5.056283333,0,0,C15H23NO4 7.135883333,0,0,C14 double 6.18825,0,0,C14 6.843433333,0,0,C14 2 double 5.845516667,0,0,C14 2 double 5.321966667,0,0,C13H23NO3 5.05995,0,0,C13H23NO3 4.55785,0,0,C13H19NO4 6.44835,0,0,slower C8 5.808716667,0,0
3,Rhizobium sp. CF080,PMI07_006586,p082,23,C11H19NO4 3.385083333,929353.1,1,C17H29NO4 5.918766667,229902.64,0.247379215,3OHC10 2 double 5.1201,0,0,faster3OHC10 4.070566667,0,0,potential 3oxoC10 isomer 4.749816667,0,0,potential 3oxoC10 isomer 4.389916667,0,0,fasterC8 4.064466667,0,0,fasterC12 5.7807,0,0,fasterC12 5.479633333,0,0,fasterC10 4.992883333,0,0,fasterC10 4.78765,0,0,faster3OHC14 5.5523,0,0,faster3OHC12 4.93175,0,0,faster3OHC12 1.351033333,0,0,faster3OHC10 4.28275,0,0,C8 double 4.271,0,0,potential 3oxoC12 isomer 5.243266667,0,0,C8 double 3.796216667,0,0,C8 4.736166667,0,0,C6 3.618966667,0,0,C4 2.30635,0,0,C24H43NO3 8.07615,0,0,C21H37NO3 7.312566667,0,0,C19H35NO4 6.49065,0,0,C19H35NO4 6.045783333,0,0,C19H35NO3 7.2361,0,0,C19H33NO4 6.718533333,0,0,C19H33NO3 6.821816667,0,0,C18 double 7.63625,0,0,potential 3oxoC12 isomer 4.7432,0,0,potential 3oxoC14 isomer 5.269483333,0,0,C18 2 double 7.051833333,0,0,potential 3oxoC14 isomer 5.8017,0,0,slower C6 3.951333333,0,0,slower C4 2.736683333,0,0,slower C4 2.420766667,0,0,slower C10 6.372483333,0,0,slower 3oxoC8 5.332366667,0,0,slower 3oxoC8 4.715083333,0,0,slower 3oxoC8 4.52995,0,0,slower 3oxoC6 3.463633333,0,0,slower 3oxoC16 7.1777,0,0,slower 3oxoC14 6.7396,0,0,slower 3oxoC12 6.21895,0,0,slower 3oxoC10 5.958416667,0,0,slower 3oxoC10 5.509183333,0,0,slower 3OHC8 5.0325,0,0,slower 3OHC8 4.50435,0,0,slower 3OHC8 4.00185,0,0,slower 3OHC4 2.07355,0,0,slower 3OHC18 7.573066667,0,0,slower 3OHC10 5.474233333,0,0,slower 3OHC10 4.851,0,0,potential 3oxoC8 isomer 3.537516667,0,0,potential 3oxoC6 isomer 2.5269,0,0,potential 3oxoC18 isomer 7.015066667,0,0,potential 3oxoC16 isomer 6.43225,0,0,potential 3oxoC14 isomer 6.308883333,0,0,C18 7.851083333,0,0,C17H31NO3 6.506916667,0,0,C18 2 double 6.2881,0,0,C12 2 double 5.240533333,0,0,C10 double 5.280083333,0,0,C10 double 4.9337,0,0,C10 double 4.683766667,0,0,C10 5.506716667,0,0,3oxoC8 3.996266667,0,0,3oxoC6 2.804883333,0,0,3oxoC16 7.0344,0,0,3oxoC14 6.432083333,0,0,3oxoC12 5.705166667,0,0,3oxoC10 4.941783333,0,0,3OHC8 3.781116667,0,0,3OHC6 2.681866667,0,0,3OHC6 2 double 4.222616667,0,0,3OHC4 0.89745,0,0,3OHC18 2 double 7.340183333,0,0,3OHC16 6.735666667,0,0,3OHC16 2 double 6.654166667,0,0,3OHC16 2 double 5.916766667,0,0,3OHC14 6.13105,0,0,3OHC14 2 double 6.7006,0,0,3OHC14 2 double 6.05145,0,0,3OHC12 5.475066667,0,0,3OHC12 2 double 6.352816667,0,0,3OHC12 2 double 5.44925,0,0,3OHC12 2 double 4.620683333,0,0,C11H15NO3 6.026666667,0,0,C12 6.181016667,0,0,3OHC10 4.70495,0,0,C12 double 5.47195,0,0,C16 double 7.115266667,0,0,C16 double 6.856583333,0,0,C16 7.520133333,0,0,C16 2 double 6.5079,0,0,C15H27NO4 5.114583333,0,0,C15H27NO4 5.006033333,0,0,C15H27NO3 5.825383333,0,0,C15H25NO4 7.652383333,0,0,C15H25NO4 6.41895,0,0,C15H25NO4 5.302416667,0,0,C15H25NO3 5.056283333,0,0,C15H23NO4 7.135883333,0,0,C14 double 6.51845,0,0,C14 double 6.18825,0,0,C14 6.843433333,0,0,C14 2 double 5.845516667,0,0,C14 2 double 5.321966667,0,0,C13H23NO4 4.179733333,0,0,C13H23NO3 5.05995,0,0,C13H23NO3 4.55785,0,0,C13H19NO4 6.44835,0,0,C13H19NO4 5.2806,0,0,C12 double 6.612716667,0,0,C12 double 6.092916667,0,0,C12 double 5.876166667,0,0,slower C8 5.808716667,0,0
4,Rhizobium sp. CF048,EW83DRAFT_06394,p092,26,3oxoC8 3.996266667,2185208000,1,C8 4.736166667,144284670,0.066027888,3oxoC6 2.804883333,93131520,0.042619064,3oxoC10 4.941783333,41054612,0.018787508,3OHC8 3.781116667,20995178,0.009607863,slower 3oxoC8 4.52995,17107934,0.007828973,C6 3.618966667,8958789,0.004099742,slower 3oxoC8 4.715083333,6436403.5,0.002945442,slower 3oxoC8 5.332366667,935154.25,0.000427947,C11H19NO4 3.385083333,684310.4,0.000313156,C17H29NO4 5.918766667,543636.2,0.00024878,slower 3oxoC10 5.509183333,188338.78,8.62E-05,3oxoC14 6.432083333,139160.48,6.37E-05,slower 3oxoC16 7.1777,112538.07,5.15E-05,3oxoC16 7.0344,112538.07,5.15E-05,3OHC12 2 double 5.44925,106554.29,4.88E-05,3OHC14 2 double 6.05145,90592.75,4.15E-05,C18 double 7.63625,74533.54,3.41E-05,fasterC10 4.992883333,0,0,fasterC12 5.479633333,0,0,fasterC12 5.7807,0,0,fasterC8 4.064466667,0,0,fasterC10 4.78765,0,0,potential 3oxoC10 isomer 4.389916667,0,0,faster3OHC14 5.5523,0,0,faster3OHC12 4.93175,0,0,faster3OHC12 1.351033333,0,0,3OHC10 2 double 5.1201,0,0,faster3OHC10 4.28275,0,0,faster3OHC10 4.070566667,0,0,C8 double 4.271,0,0,C8 double 3.796216667,0,0,potential 3oxoC12 isomer 4.7432,0,0,C4 2.30635,0,0,C24H43NO3 8.07615,0,0,C21H37NO3 7.312566667,0,0,C19H35NO4 6.49065,0,0,C19H35NO4 6.045783333,0,0,potential 3oxoC10 isomer 4.749816667,0,0,potential 3oxoC6 isomer 2.5269,0,0,potential 3oxoC12 isomer 5.243266667,0,0,potential 3oxoC14 isomer 5.269483333,0,0,slower C6 3.951333333,0,0,slower C4 2.736683333,0,0,slower C4 2.420766667,0,0,slower C10 6.372483333,0,0,slower 3oxoC6 3.463633333,0,0,slower 3oxoC14 6.7396,0,0,slower 3oxoC12 6.21895,0,0,slower 3oxoC10 5.958416667,0,0,slower 3OHC8 5.0325,0,0,slower 3OHC8 4.50435,0,0,slower 3OHC8 4.00185,0,0,slower 3OHC4 2.07355,0,0,slower 3OHC18 7.573066667,0,0,slower 3OHC10 5.474233333,0,0,slower 3OHC10 4.851,0,0,potential 3oxoC8 isomer 3.537516667,0,0,C19H33NO4 6.718533333,0,0,potential 3oxoC18 isomer 7.015066667,0,0,potential 3oxoC16 isomer 6.43225,0,0,potential 3oxoC14 isomer 6.308883333,0,0,potential 3oxoC14 isomer 5.8017,0,0,C19H35NO3 7.2361,0,0,C17H31NO3 6.506916667,0,0,C19H33NO3 6.821816667,0,0,C18 7.851083333,0,0,C12 double 6.092916667,0,0,C12 double 5.876166667,0,0,C12 double 5.47195,0,0,C12 6.181016667,0,0,C12 2 double 5.240533333,0,0,C11H15NO3 6.026666667,0,0,C10 double 5.280083333,0,0,C10 double 4.9337,0,0,C10 double 4.683766667,0,0,C10 5.506716667,0,0,3oxoC12 5.705166667,0,0,3OHC6 2.681866667,0,0,3OHC6 2 double 4.222616667,0,0,3OHC4 0.89745,0,0,3OHC18 2 double 7.340183333,0,0,3OHC16 6.735666667,0,0,3OHC16 2 double 6.654166667,0,0,3OHC16 2 double 5.916766667,0,0,3OHC14 6.13105,0,0,3OHC14 2 double 6.7006,0,0,3OHC12 5.475066667,0,0,3OHC12 2 double 6.352816667,0,0,3OHC12 2 double 4.620683333,0,0,C12 double 6.612716667,0,0,C13H19NO4 5.2806,0,0,C13H19NO4 6.44835,0,0,C15H25NO4 7.652383333,0,0,C18 2 double 7.051833333,0,0,C18 2 double 6.2881,0,0,3OHC10 4.70495,0,0,C16 double 7.115266667,0,0,C16 double 6.856583333,0,0,C16 7.520133333,0,0,C16 2 double 6.5079,0,0,C15H27NO4 5.114583333,0,0,C15H27NO4 5.006033333,0,0,C15H27NO3 5.825383333,0,0,C15H25NO4 6.41895,0,0,C13H23NO3 4.55785,0,0,C15H25NO4 5.302416667,0,0,C15H25NO3 5.056283333,0,0,C15H23NO4 7.135883333,0,0,C14 double 6.51845,0,0,C14 double 6.18825,0,0,C14 6.843433333,0,0,C14 2 double 5.845516667,0,0,C14 2 double 5.321966667,0,0,C13H23NO4 4.179733333,0,0,C13H23NO3 5.05995,0,0,slower C8 5.808716667,0,0
5,Novosphingobium sp. GV013,Ga0189719_3534,p066,29,3OHC8 3.781116667,321927700,1,3OHC10 4.70495,79604810,0.247275429,3OHC14 6.13105,26384428,0.08195762,slower 3OHC10 4.851,13058035,0.040562011,3OHC12 5.475066667,10074138,0.031293169,slower 3OHC8 4.00185,8574390,0.026634521,C8 4.736166667,6530538,0.020285729,C8 double 4.271,4595059,0.014273574,C11H19NO4 3.385083333,2040801.8,0.006339317,potential 3oxoC16 isomer 6.43225,1934192.2,0.006008157,3OHC6 2.681866667,1374064.8,0.00426824,potential 3oxoC14 isomer 5.8017,972440.7,0.00302068,potential 3oxoC12 isomer 5.243266667,465304.28,0.001445369,potential 3oxoC18 isomer 7.015066667,128378.4,0.00039878,faster3OHC14 5.5523,0,0,potential 3oxoC10 isomer 4.389916667,0,0,fasterC8 4.064466667,0,0,fasterC12 5.7807,0,0,C19H33NO4 6.718533333,0,0,fasterC12 5.479633333,0,0,fasterC10 4.992883333,0,0,C19H35NO3 7.2361,0,0,fasterC10 4.78765,0,0,C24H43NO3 8.07615,0,0,C4 2.30635,0,0,C19H35NO4 6.045783333,0,0,faster3OHC12 1.351033333,0,0,faster3OHC10 4.28275,0,0,faster3OHC10 4.070566667,0,0,potential 3oxoC10 isomer 4.749816667,0,0,C19H35NO4 6.49065,0,0,C8 double 3.796216667,0,0,C21H37NO3 7.312566667,0,0,C6 3.618966667,0,0,faster3OHC12 4.93175,0,0,3OHC10 2 double 5.1201,0,0,potential 3oxoC12 isomer 4.7432,0,0,slower 3oxoC12 6.21895,0,0,slower C6 3.951333333,0,0,slower C4 2.736683333,0,0,slower C4 2.420766667,0,0,slower C10 6.372483333,0,0,slower 3oxoC8 5.332366667,0,0,slower 3oxoC8 4.715083333,0,0,slower 3oxoC8 4.52995,0,0,slower 3oxoC6 3.463633333,0,0,slower 3oxoC16 7.1777,0,0,slower 3oxoC14 6.7396,0,0,slower 3oxoC10 5.958416667,0,0,potential 3oxoC14 isomer 5.269483333,0,0,slower 3oxoC10 5.509183333,0,0,slower 3OHC8 5.0325,0,0,slower 3OHC8 4.50435,0,0,slower 3OHC4 2.07355,0,0,slower 3OHC18 7.573066667,0,0,slower 3OHC10 5.474233333,0,0,potential 3oxoC8 isomer 3.537516667,0,0,potential 3oxoC6 isomer 2.5269,0,0,C18 double 7.63625,0,0,potential 3oxoC14 isomer 6.308883333,0,0,C19H33NO3 6.821816667,0,0,C17H31NO3 6.506916667,0,0,C18 7.851083333,0,0,3oxoC12 5.705166667,0,0,C12 6.181016667,0,0,C12 2 double 5.240533333,0,0,C11H15NO3 6.026666667,0,0,C10 double 5.280083333,0,0,C10 double 4.9337,0,0,C10 double 4.683766667,0,0,C10 5.506716667,0,0,3oxoC8 3.996266667,0,0,3oxoC6 2.804883333,0,0,3oxoC16 7.0344,0,0,3oxoC14 6.432083333,0,0,3oxoC10 4.941783333,0,0,C12 double 5.876166667,0,0,3OHC6 2 double 4.222616667,0,0,3OHC4 0.89745,0,0,3OHC18 2 double 7.340183333,0,0,3OHC16 6.735666667,0,0,3OHC16 2 double 6.654166667,0,0,3OHC16 2 double 5.916766667,0,0,3OHC14 2 double 6.7006,0,0,3OHC14 2 double 6.05145,0,0,3OHC12 2 double 6.352816667,0,0,3OHC12 2 double 5.44925,0,0,3OHC12 2 double 4.620683333,0,0,C12 double 5.47195,0,0,C12 double 6.092916667,0,0,C18 2 double 7.051833333,0,0,C15H25NO4 5.302416667,0,0,C18 2 double 6.2881,0,0,C17H29NO4 5.918766667,0,0,C16 double 7.115266667,0,0,C16 double 6.856583333,0,0,C16 7.520133333,0,0,C16 2 double 6.5079,0,0,C15H27NO4 5.114583333,0,0,C15H27NO4 5.006033333,0,0,C15H27NO3 5.825383333,0,0,C15H25NO4 7.652383333,0,0,C15H25NO4 6.41895,0,0,C15H25NO3 5.056283333,0,0,C12 double 6.612716667,0,0,C15H23NO4 7.135883333,0,0,C14 double 6.51845,0,0,C14 double 6.18825,0,0,C14 6.843433333,0,0,C14 2 double 5.845516667,0,0,C14 2 double 5.321966667,0,0,C13H23NO4 4.179733333,0,0,C13H23NO3 5.05995,0,0,C13H23NO3 4.55785,0,0,C13H19NO4 6.44835,0,0,C13H19NO4 5.2806,0,0,slower C8 5.808716667,0,0
